waitbutwhy,
lesswrong,
worrydream.com,
3blue1blown,★
veritasium,★
vsauce,★
GCPgrey,★
casuallyExplained,
SebastianLeague,
ジャルジャルタワー,★
OverSimplified,
ProfessorDaveExplains,
DanielLaBelle,
TheEfficientEngineer,
